jahr,stadtteil,einwohner,durchschnittsalter,kinder,erwachsene,aeltere,geburten,sterbefaelle,zuzuege,wegzuege
2016,07 - St. Gertrud,41724,46.642289561819844,6147,24955,10622,321,649,5384,5004
2016,08 - Schlutup,5914,45.32634372989925,1045,3427,1442,43,80,497,463
2016,09 - Kücknitz,18771,45.055923060909414,3057,11463,4251,178,277,1565,1167
2016,10 - Travemünde,13519,56.790073563601254,1267,6148,6104,63,282,1089,810
2015,00 - Lübeck,218523,44.67953264665893,33269,135346,49908,1915,2863,13929,10353
2015,01 - Innenstadt,13975,40.26692448378553,1467,10504,2004,123,134,2669,2409
2015,02 - St. Jürgen,45116,43.4194442953388,7355,28130,9631,428,433,4486,3952
2015,03 - Moisling,10436,44.65317421590881,1742,6390,2304,83,177,1170,880
2015,04 - Buntekuh,10993,43.64040211721881,2108,6251,2634,119,125,1078,974
2015,05 - St. Lorenz Süd,15026,41.98236441021007,1970,10545,2511,162,157,2132,1984
2015,06 - St. Lorenz Nord,43092,43.018829008614,6976,27596,8520,402,506,4479,3862
2015,07 - St. Gertrud,41987,46.35212868911818,6346,24994,10647,340,682,4035,3265
2015,08 - Schlutup,5915,45.06342612997452,1071,3444,1400,61,90,460,428
2015,09 - Kücknitz,18510,45.1946502512647,2964,11308,4238,150,267,1598,1091
2015,10 - Travemünde,13470,56.580971530694285,1269,6182,6019,47,292,1034,772
2014,00 - Lübeck,215800,44.82231402408909,32470,133657,49661,1906,2619,13111,10371
2014,01 - Innenstadt,13688,40.43377320800941,1416,10310,1962,133,135,2540,2396
2014,02 - St. Jürgen,44749,43.35324869890718,7272,27946,9531,445,416,4341,3884
2014,03 - Moisling,10255,45.287397393853986,1667,6226,2362,93,142,1015,937
2014,04 - Buntekuh,10894,43.718497363519866,2058,6227,2608,137,112,1095,909
2014,05 - St. Lorenz Süd,14897,41.960582596412756,1940,10462,2494,157,141,2190,2044
2014,06 - St. Lorenz Nord,42596,43.094724136245276,6784,27358,8450,420,489,4408,3978
2014,07 - St. Gertrud,41299,46.77686494856338,6063,24605,10629,323,584,3707,3139
2014,08 - Schlutup,5903,45.16822326237646,1066,3437,1400,41,88,564,410
2014,09 - Kücknitz,18087,45.48670642751574,2928,10913,4242,105,236,1534,1203
2014,10 - Travemünde,13432,56.32474524137819,1276,6173,5983,51,276,922,749
2013,00 - Lübeck,213922,44.80458260812599,32218,132569,49126,1821,2875,12332,10752
2013,01 - Innenstadt,13543,40.309286605120775,1402,10215,1926,104,124,2512,2355
2013,02 - St. Jürgen,44294,43.327523255260154,7227,27697,9370,445,439,4050,3773
2013,03 - Moisling,10225,45.33036728405399,1646,6218,2361,73,148,724,919
2013,04 - Buntekuh,10678,43.71782720763233,2034,6115,2528,113,153,1008,983
2013,05 - St. Lorenz Süd,14727,42.11427476335558,1916,10322,2487,135,162,2089,2032
2013,06 - St. Lorenz Nord,42240,43.061037551720936,6753,27084,8401,388,515,4376,3853
2013,07 - St. Gertrud,41050,46.7475618734477,6014,24466,10566,331,663,3521,3320
2013,08 - Schlutup,5812,45.42047299399447,1034,3384,1394,45,91,492,373
2013,09 - Kücknitz,17889,45.379657507445074,2894,10826,4169,140,271,1309,1204
2013,10 - Travemünde,13464,56.10670992764063,1298,6242,5924,46,309,1025,799
2012,00 - Lübeck,213369,44.7737271692335,32150,132124,49095,1773,2608,11657,9863
2012,01 - Innenstadt,13424,40.18465027694899,1409,10140,1875,131,135,2439,2375
2012,02 - St. Jürgen,43991,43.31000115388456,7163,27476,9352,378,421,4342,3467
2012,03 - Moisling,10487,44.89022684564787,1755,6324,2408,81,133,744,962
2012,04 - Buntekuh,10690,43.712730363787784,2012,6178,2500,113,125,1034,894
2012,05 - St. Lorenz Süd,14710,42.184948669256954,1952,10226,2532,130,175,2023,1979
2012,06 - St. Lorenz Nord,41838,43.13302703692924,6613,26809,8416,433,443,4021,3834
2012,07 - St. Gertrud,41139,46.740388847581585,5979,24568,10592,277,585,3610,3267
2012,08 - Schlutup,5734,45.27798458668145,1035,3324,1375,40,97,495,475
2012,09 - Kücknitz,17861,45.27427522871169,2915,10775,4171,141,203,1146,1092
2012,10 - Travemünde,13495,55.89645493872979,1317,6304,5874,48,291,896,685
2011,00 - Lübeck,212305,44.66067048682634,32298,131216,48791,1696,2691,11802,10358
2011,01 - Innenstadt,13373,40.15446090156655,1423,10105,1845,112,118,2464,2422
2011,02 - St. Jürgen,43024,43.37831668001768,7003,26787,9234,389,391,3957,3625
2011,03 - Moisling,10756,44.40313423598027,1894,6421,2441,85,134,740,858
2011,04 - Buntekuh,10570,43.68196135070075,2009,6094,2467,97,124,1061,942
2011,05 - St. Lorenz Süd,14738,42.03062876235604,2001,10182,2555,151,167,2157,2081
2011,06 - St. Lorenz Nord,41579,43.08436469199374,6537,26687,8355,364,497,4213,3830
2011,07 - St. Gertrud,41127,46.53173483174148,6052,24490,10585,289,662,3637,3368
2011,08 - Schlutup,5769,45.12488395096849,1048,3351,1370,40,95,507,478
2011,09 - Kücknitz,17854,45.03046065485473,2961,10734,4159,117,225,1174,1094
2011,10 - Travemünde,13515,55.50934052614644,1370,6365,5780,52,278,936,765
2010,00 - Lübeck,212115,44.49218137356997,32545,130979,48591,1842,2700,11412,9986
2010,01 - Innenstadt,13363,39.91592077490597,1462,10131,1770,117,138,2556,2561
2010,02 - St. Jürgen,42686,43.25309616768258,6874,26703,9109,406,381,4012,3401
2010,03 - Moisling,10938,43.90928796679666,1979,6497,2462,112,146,791,998
2010,04 - Buntekuh,10490,43.558776133826086,1996,6071,2423,111,156,1117,989
2010,05 - St. Lorenz Süd,14712,41.90088009415481,2011,10133,2568,167,146,2013,2004
2010,06 - St. Lorenz Nord,41363,43.00976632216139,6595,26418,8350,374,489,4064,3895
2010,07 - St. Gertrud,41323,46.391634828724854,6139,24520,10664,308,663,3449,3083
2010,08 - Schlutup,5796,45.02258052317612,1054,3370,1372,36,103,445,408
2010,09 - Kücknitz,17883,44.66885593496234,3041,10711,4131,154,239,1033,1061
2010,10 - Travemünde,13561,55.17921396268308,1394,6425,5742,55,238,1013,751
